filepath,category,texture,texture_confidence,season,season_confidence,season_gap,season_source
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket337.jpg,Jacket,solid,0.1862,fall,0.2165,0.0191,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant341.jpg,Pants,solid,0.1825,winter,0.1726,0.0123,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter239.jpg,Warmwear,solid,0.2393,all-season,0.221,0.0003,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter264.jpg,Warmwear,checkered,0.2127,winter,0.2106,0.0264,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top302.jpg,Top,solid,0.2357,summer,0.2302,0.066,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt414.jpg,Skirt,pleated,0.2358,summer,0.1908,0.0126,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket210.jpg,Jacket,solid,0.2441,winter,0.2808,0.0258,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt343.jpg,Shirt,solid,0.2658,summer,0.2455,0.0787,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant417.jpg,Pants,solid,0.1762,all-season,0.1496,0.0036,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer209.jpg,Blazer,solid,0.1731,fall,0.2184,0.0265,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts364.jpg,Shorts,solid,0.2273,summer,0.2089,0.052,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter163.jpg,Warmwear,solid,0.2128,all-season,0.1792,0.0011,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts282.jpg,Shorts,solid,0.1774,summer,0.185,0.0246,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket348.jpg,Jacket,solid,0.2237,all-season,0.2192,0.0046,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts198.jpg,Shorts,solid,0.1761,summer,0.1743,0.0602,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt020.jpg,Shirt,solid,0.257,summer,0.2167,0.0229,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer001.jpg,Blazer,solid,0.2361,fall,0.2402,0.0299,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant170.jpg,Formal_Pant,solid,0.1685,all-season,0.1346,0.0016,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant385.jpg,Pants,solid,0.2231,fall,0.1806,0.02,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top343.jpg,Top,embroidered,0.2092,summer,0.2107,0.0803,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer038.jpg,Blazer,pleated,0.2203,fall,0.1832,0.0373,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress395.jpg,Dress,pleated,0.2417,summer,0.23,0.0809,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top293.jpg,Top,checkered,0.203,summer,0.2305,0.0834,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt185.jpg,Shirt,solid,0.2629,summer,0.243,0.0235,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt137.jpg,Shirt,solid,0.2436,summer,0.2704,0.0944,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top337.jpg,Top,embroidered,0.2368,summer,0.2183,0.0698,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt054.jpg,Shirt,striped,0.2776,summer,0.2168,0.0152,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter138.jpg,Warmwear,solid,0.2536,all-season,0.231,0.0073,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt235.jpg,Shirt,striped,0.2668,fall,0.2077,0.0259,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket322.jpg,Jacket,solid,0.1998,all-season,0.2077,0.0058,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket369.jpg,Jacket,solid,0.2298,all-season,0.245,0.0017,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts306.jpg,Shorts,solid,0.1653,summer,0.1394,0.043,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer115.jpg,Blazer,embroidered,0.1904,fall,0.1999,0.0245,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top078.jpg,Top,pleated,0.2444,summer,0.2251,0.0923,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant232.jpg,Formal_Pant,solid,0.2231,fall,0.2149,0.0313,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts162.jpg,Shorts,solid,0.2342,summer,0.2008,0.0397,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer359.jpg,Blazer,solid,0.2336,fall,0.2317,0.0315,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts063.jpg,Shorts,solid,0.2096,summer,0.1971,0.0503,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress173.jpg,Dress,floral,0.2509,summer,0.1756,0.0498,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress007.jpg,Dress,floral,0.2448,summer,0.1446,0.0123,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt313.jpg,Shirt,embroidered,0.2311,summer,0.1989,0.0371,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant091.jpg,Pants,striped,0.2099,winter,0.1851,0.0101,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt293.jpg,Skirt,pleated,0.2124,summer,0.1696,0.0376,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top220.jpg,Top,solid,0.2631,summer,0.2187,0.0225,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts218.jpg,Shorts,solid,0.2151,summer,0.1912,0.0644,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant174.jpg,Formal_Pant,solid,0.2347,all-season,0.1869,0.0066,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant132.jpg,Pants,solid,0.2321,summer,0.1939,0.0186,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt217.jpg,Skirt,checkered,0.2621,all-season,0.1824,0.0094,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer324.jpg,Blazer,checkered,0.2287,fall,0.2185,0.0383,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts204.jpg,Shorts,checkered,0.2379,summer,0.2011,0.0794,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt080.jpg,Shirt,striped,0.2603,summer,0.2106,0.0116,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt024.jpg,Skirt,solid,0.2277,summer,0.2246,0.0593,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant105.jpg,Formal_Pant,solid,0.2266,all-season,0.1797,0.0019,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt330.jpg,Shirt,solid,0.2657,summer,0.2052,0.0228,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt357.jpg,Shirt,striped,0.2921,summer,0.2622,0.0595,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt335.jpg,Skirt,pleated,0.2056,summer,0.1578,0.0118,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress288.jpg,Dress,pleated,0.2084,summer,0.1497,0.0176,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant165.jpg,Formal_Pant,pleated,0.1937,fall,0.1638,0.0107,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter214.jpg,Warmwear,solid,0.2525,winter,0.2355,0.0129,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top231.jpg,Top,solid,0.2387,summer,0.233,0.0603,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket426.jpg,Jacket,solid,0.1673,winter,0.2204,0.0209,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress020.jpg,Dress,solid,0.1841,summer,0.2141,0.0874,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer362.jpg,Blazer,solid,0.2167,fall,0.2342,0.0372,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer117.jpg,Blazer,solid,0.2514,fall,0.2606,0.0413,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant055.jpg,Formal_Pant,solid,0.1981,all-season,0.1615,0.0033,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant129.jpg,Formal_Pant,solid,0.2079,all-season,0.1531,0.0018,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress305.jpg,Dress,embroidered,0.2083,summer,0.1585,0.0475,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress263.jpg,Dress,solid,0.1775,summer,0.1757,0.0476,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter310.jpg,Warmwear,embroidered,0.1757,all-season,0.1593,0.0063,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top248.jpg,Top,pleated,0.2262,summer,0.2238,0.0668,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt017.jpg,Shirt,striped,0.2427,summer,0.2194,0.0765,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant437.jpg,Pants,solid,0.2001,all-season,0.1625,0.0023,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer282.jpg,Blazer,embroidered,0.229,fall,0.2267,0.052,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant332.jpg,Formal_Pant,pleated,0.2314,all-season,0.1731,0.0005,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter127.jpg,Warmwear,striped,0.2243,winter,0.1945,0.0156,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts416.jpg,Shorts,embroidered,0.1671,summer,0.1554,0.025,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts239.jpg,Shorts,solid,0.1857,all-season,0.1564,0.0026,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress360.jpg,Dress,graphic,0.1562,summer,0.1404,0.0271,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top391.jpg,Top,pleated,0.2782,summer,0.2473,0.0542,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt190.jpg,Shirt,solid,0.2589,summer,0.2007,0.0103,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top133.jpg,Top,floral,0.2735,summer,0.2307,0.0685,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant137.jpg,Pants,solid,0.2009,summer,0.1711,0.0152,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant268.jpg,Pants,solid,0.2159,all-season,0.1752,0.0097,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant120.jpg,Pants,solid,0.2001,winter,0.1737,0.0186,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts077.jpg,Shorts,solid,0.2367,summer,0.2289,0.0561,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt380.jpg,Skirt,solid,0.2076,summer,0.2057,0.043,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket051.jpg,Jacket,solid,0.1903,fall,0.1858,0.0386,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt110.jpg,Shirt,solid,0.2773,summer,0.2258,0.0304,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter121.jpg,Warmwear,solid,0.2219,fall,0.2541,0.0296,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant045.jpg,Pants,solid,0.1884,all-season,0.1694,0.0005,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top143.jpg,Top,pleated,0.2166,summer,0.228,0.0837,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant351.jpg,Formal_Pant,solid,0.21,all-season,0.1814,0.0069,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt257.jpg,Skirt,solid,0.192,all-season,0.1422,0.0003,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer197.jpg,Blazer,solid,0.2229,fall,0.2151,0.0116,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant347.jpg,Pants,solid,0.1923,all-season,0.1513,0.0043,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress256.jpg,Dress,solid,0.2884,winter,0.293,0.0419,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer430.jpg,Blazer,solid,0.2251,fall,0.2384,0.0234,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts055.jpg,Shorts,solid,0.1751,summer,0.1735,0.0205,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress328.jpg,Dress,solid,0.214,summer,0.195,0.0353,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter384.jpg,Warmwear,solid,0.2098,winter,0.2175,0.0262,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter356.jpg,Warmwear,graphic,0.172,winter,0.1537,0.0343,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant119.jpg,Pants,solid,0.2109,all-season,0.1705,0.0065,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant290.jpg,Pants,solid,0.1653,all-season,0.134,0.0074,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt192.jpg,Shirt,solid,0.2759,summer,0.2264,0.0183,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top190.jpg,Top,floral,0.2169,summer,0.2325,0.0903,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt348.jpg,Skirt,pleated,0.2131,summer,0.1791,0.0195,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts300.jpg,Shorts,solid,0.1777,summer,0.15,0.0114,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant384.jpg,Pants,solid,0.2084,all-season,0.1628,0.0001,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant266.jpg,Formal_Pant,solid,0.1921,all-season,0.1686,0.0079,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts366.jpg,Shorts,solid,0.1889,summer,0.1575,0.0134,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket184.jpg,Jacket,solid,0.2091,all-season,0.2165,0.0074,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts083.jpg,Shorts,solid,0.2041,all-season,0.1681,0.0061,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top199.jpg,Top,solid,0.2496,summer,0.231,0.0434,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant230.jpg,Formal_Pant,solid,0.2188,summer,0.1927,0.0137,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter195.jpg,Warmwear,graphic,0.2133,all-season,0.1599,0.005,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket182.jpg,Jacket,solid,0.1318,all-season,0.1419,0.0033,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant252.jpg,Pants,solid,0.1857,winter,0.1568,0.0153,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant240.jpg,Pants,solid,0.2271,fall,0.1943,0.0195,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt138.jpg,Skirt,floral,0.1908,summer,0.1485,0.0275,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress097.jpg,Dress,pleated,0.1663,summer,0.1305,0.0252,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt400.jpg,Skirt,pleated,0.227,summer,0.2044,0.0453,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt383.jpg,Skirt,solid,0.2293,all-season,0.182,0.0087,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant199.jpg,Formal_Pant,solid,0.2122,all-season,0.1679,0.0063,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter259.jpg,Warmwear,solid,0.2176,winter,0.241,0.0475,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Blazer\blazer156.jpg,Blazer,embroidered,0.2216,fall,0.1922,0.0354,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt250.jpg,Skirt,pleated,0.2167,all-season,0.1792,0.0093,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts123.jpg,Shorts,solid,0.1917,summer,0.1911,0.0326,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket329.jpg,Jacket,solid,0.2031,all-season,0.1991,0.0007,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts059.jpg,Shorts,solid,0.2338,summer,0.1886,0.0512,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter075.jpg,Warmwear,striped,0.2542,all-season,0.2161,0.0044,low_confidence_fallback
